FLBR id 'ur_VA00030_178' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 2438154.64674 flbr
FLBR id 'ur_VA00030_230' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 1099188.24725 flbr
FLBR id 'ur_VA00030_231' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 1073190.38391 flbr
FLBR id 'ur_VA00030_232' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 2390054.74978 flbr
FLBR id 'ur_VA00030_233' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 3632851.75617 flbr
FLBR id 'ur_VA00030_234' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 778907.339495 flbr
FLBR id 'ur_VA00030_235' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 4382562.29353 flbr
FLBR id 'ur_VA00030_236' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 2156403.9307 flbr
FLBR id 'ur_VA00030_237' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 809807.011706 flbr
FLBR id 'ur_VA00030_238' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 3119336.27159 flbr
FLBR id 'ur_VA00047_242' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 1766578.33566 flbr
FLBR id 'ur_VA00047_271' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 7967676.44952 flbr
FLBR id 'ur_VA00047_272' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 4212734.94934 flbr
FLBR id 'ur_VA00047_277' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 1111172.83371 flbr
FLBR id 'ur_VA00030_1952' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 2496739.00738 flbr
FLBR id 'ur_VA00030_1954' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 3327314.82798 flbr
FLBR id 'ur_VA00030_1957' sc 0 lt 0 dc lt 7 ir  0 ms 'Station2' ii  0 ar 2965535.41673 flbr
